game_id,matchup,date,name,usage %,minutes,jokic_playing
0022500359,DEN @ CHA,2025-12-07,Bruce Brown,7.01,20,True
0022500274,DEN vs. SAC,2025-11-22,Spencer Jones,6.77,24,True
0022500695,DEN vs. LAC,2026-01-30,Spencer Jones,6.75,35,True
0022500496,DEN @ BKN,2026-01-04,Spencer Jones,6.69,27,False
0022500684,DEN vs. BKN,2026-01-29,Jalen Pickett,6.63,15,False
0022500433,DEN @ ORL,2025-12-27,Bruce Brown,6.2,27,True
0022500224,DEN @ LAC,2025-11-12,Bruce Brown,6.19,28,True
0022500600,DEN vs. WAS,2026-01-17,Spencer Jones,6.18,29,False
0022500248,DEN vs. CHI,2025-11-17,Peyton Watson,6.09,34,True
0022500260,DEN @ NOP,2025-11-19,Zeke Nnaji,6.0,27,True
0022500037,DEN vs. GSW,2025-11-07,Cameron Johnson,5.73,25,True
0022500695,DEN vs. LAC,2026-01-30,Julian Strawther,5.7,17,True
0022500325,DEN @ IND,2025-12-03,Spencer Jones,5.08,17,True
0022500340,DEN @ ATL,2025-12-05,Spencer Jones,5.02,24,True
0022500605,DEN vs. CHA,2026-01-18,Spencer Jones,4.89,31,False
0022500711,DEN vs. OKC,2026-02-01,Spencer Jones,4.79,28,True
0022500232,DEN @ MIN,2025-11-15,Spencer Jones,4.75,17,True
0022500134,DEN vs. NOP,2025-10-29,Peyton Watson,4.64,23,True
0022500248,DEN vs. CHI,2025-11-17,Bruce Brown,3.6,23,True
0022500629,DEN @ WAS,2026-01-22,Spencer Jones,3.25,28,False
0022500224,DEN @ LAC,2025-11-12,Spencer Jones,2.89,15,True
0022500054,DEN @ HOU,2025-11-21,Spencer Jones,2.13,22,True
0022501208,DEN @ SAC,2025-12-11,Spencer Jones,1.94,22,True
